ID,DOY_d1,DOY_d2,DOY_d3,M1_R,M3_R,M4_R,M5_R
55,89,281,157,0.26597376,2.042928,0.3914784,0.225072
57,73,290,167,0.1060128,1.3529376,0.0856224,0.0806976
60,99,302,174,1.289127273,0.4892832,0.3363984,0.4012416
63,96,291,181,1.691346462,1.965816,0.7070976,0.2128896
87,61,306,134,default,0.1750896,0.0105408,0.0085536
131,61,334,156,1.0642752,4.70232,1.6367616,0.8452944
132,150,323,131,1.8007056,20.3823648,20.3823648,8.0700192
182,61,334,159,1.8373824,5.3029296,3.612384,2.7376704
198,61,311,170,default,3.8998368,4.687632,0.0385344
210,61,311,174,0.420768,0.254448,0.4232736,0.4122576
292,113,276,191,0.6973236,1.1343456,0.8438256,0
293,73,257,177,0.56992896,2.1730896,0.203472,0.112536
300,74,300,188,1.2312144,1.5575328,0.7506432,1.3912128
319,111,271,174,8.3774112,2.1529152,1.6996608,0.2766528
320,105,260,174,0.1100736,0,0,0
355,124,300,191,28.1959488,7.2551808,6.6747024,5.7189024
361,61,275,84,2.8398816,0.2833488,0.4232736,0.020304
362,145,263,124,0.5972256,1.0735632,1.0735632,0.0836352
367,70,298,164,0.4954464,0.3988224,0.0114912,0.0305856
368,90,274,148,0.01461024,0.7216992,0,0.0317952
370,80,273,171,2.562053907,4.643173458,2.482794295,0.482681449
372,61,279,125,0.2862432,0.2642112,0.0152928,0.01296
384,114,286,183,12.5753472,4.5995904,0.8098272,1.1009952
385,125,300,189,0.02376,0.0303264,0.0279072,8.64E-05
386,150,292,135,0.530928,0.5284224,0.5284224,0.0856224
387,77,250,163,default,9.37203194,4.001128206,0.366980444
396,111,288,180,default,22.26383541,15.43789056,2.22395424
398,130,284,201,default,1.6452288,0.5732208,0.0528768
399,131,274,114,2.100708,1.1864448,1.1864448,0
411,75,279,121,60.93693568,27.06645412,6.33664477,1.267370372
416,93,273,176,default,2.762208,4.70232,1.2452832
419,125,263,172,0.209088,0.4970592,0,0
421,98,300,183,6.0259248,3.5634384,2.4661152,1.3040352
442,80,304,156,default,0.0940464,0.0196992,0.0195264
449,99,278,156,default,1.2975552,0.1320192,0.0020736
450,70,287,160,default,0.2509056,0.0210816,0.0171072
469,108,294,166,default,0.1097712,0.0517536,0.0061344
473,116,279,165,0.170978954,0.2713824,0.0579744,0
477,121,286,172,4.6419264,0.7733664,1.4764896,0.3392064
492,117,300,196,0.254532123,0.936549477,0.6886944,1.0911456
502,122,300,202,4.094829257,1.821312,1.821312,0.5510592
506,99,298,167,0.0123552,0.3552768,0.3700512,0.024624
517,113,300,203,0.6527952,0.5521824,0.55296,0.1837728
531,93,314,170,2.51451648,0.2174256,0.3719952,0.0586656
536,117,300,185,1.6566336,0.6287328,0.9162288,0.1982016
546,122,300,183,default,0.291168,0.2667168,0.0736128
549,120,290,167,2.334149486,0.2458944,0.0733968,0.029376
554,78,300,181,0.018082286,0.0379296,0.0156384,0.014688
567,74,352,167,2.59146,0.0986688,0.1847232,0.0815616
572,90,300,157,0.007374857,0.0865728,0,0
574,110,277,169,0.4131072,0.4536432,0.0268704,0.0268704
575,108,294,173,1.9433664,1.46664,0.3424896,0.1296864
601,68,300,155,5.54148,1.5878592,1.2331008,1.257552
604,78,300,159,7.37784,1.3137984,1.2477888,0.3670272
780,82,300,117,2.811888,0.0512352,0,0
784,61,337,114,2.9040768,0,0,0
798,61,277,84,5.9298048,0.1266192,0,0
837,62,300,110,8.299700894,0.0331776,0.0378432,0.0381888
868,61,275,152,0.257707636,1.1119248,0,0
893,62,274,170,0.0602208,0.355968,0,0
953,61,281,178,0.0015264,0.0028512,0.0020736,0.00216
1266,61,280,91,56.271132,0.0775872,0.0506736,0.0383184
1280,61,283,162,default,1.6685568,0.6397488,0.0244512
1294,61,282,157,0.4232736,3.6111744,2.404944,0.6459264
